@relation cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R60-65-weka.filters.unsupervised.attribute.Remove-R35-38

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute 'Graduated with CS Degree' {YES,NO,NA}

@data
0.8,0.520833,0.940606,0,0.1,0.800728,0,1,0.09,0.09,0.081333,0,0.067568,0.25,0.5,0.9,0.42,0.857143,0,0.15,0.75,0,1,0.25,0.25,0.84,0.71,0.95,0.747475,0.701031,0.78,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,0.814139,0.651681,0.833333,0.733511,0.744545,t,f,f,f,YES
0.88,0.75,0.969697,0,0,0.920837,0.808081,1,0,0,0.110667,0,0.067568,0.13,0.25,0.94,0.67,0.857143,0,0.15,0.82,0,1,0.17,0.17,0.98,0.93,1,0.828283,0.773196,0.92,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.904599,0.67543,0.761905,0.742091,0.439091,t,f,f,f,YES
0.61,0.395833,0.843636,0,0.8,0.410373,0,0.99,0.36,0.73,0.057333,0,0.067568,0.38,0.75,0.48,0,0.857143,0.46,0.54,0.9,0,1,0.08,0.08,0.23,0.08,0.45,0.676768,0.587629,0.8,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.482453,0.596266,0.285714,0.501861,0.77,t,f,f,f,NO
0.81,0.583333,0.872727,0,0.1,0.750682,0,0.98,0.18,0.18,0.076,0,0.067568,0.25,0.5,0.95,0.75,0.857143,0,0,0.99,0.86,1,0,0,0.88,0.78,0.98,0.919192,0.917526,0.93,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.814139,0.754593,0.468254,0.724932,0.623636,t,f,f,f,YES
0.6,0.447917,0.707879,0,0.8,0.570519,0,0.97,0.18,0.55,0.108,0.25,0.067568,0,0.25,0.81,0,0.857143,0.08,0.15,0.97,0.83,1,0,0,0.44,0.19,0.6,0.878788,0.876289,0.89,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,0.683475,0.715012,0.833333,0.647715,0.598182,t,f,f,f,NO
0.54,0.322917,0.756364,0,0.7,0.630573,0.151515,0.95,0,0.55,0.06,0.11,0.067568,0,0.75,0.77,0.33,0.857143,0,0.38,0.97,0.75,1,0,0,0.45,0.24,0.58,0.585859,0.505155,0.63,f,f,t,t,f,f,f,f,f,f,t,f,f,f,f,0.653321,0.612099,0.730159,0.716352,0.642727,t,f,f,f,NO
0.58,0.34375,0.785455,0,0.8,0.380346,0,0.85,0.27,0.64,0.048,0,0.067568,0.38,0.75,0.81,0,0.857143,0.08,0.23,0.9,0,1,0.08,0.08,0.39,0.18,0.6,0.646465,0.525773,0.8,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.502555,0.67543,0.293651,0.613397,0.515454,t,f,f,f,NO
0.7,0.552083,0.843636,0,0.4,0.830755,0.494949,1,0,0.27,0.057333,0,0.067568,0.5,0.63,0.91,0,0.857143,0.08,0.08,0.92,0,1,0.08,0.08,0.66,0.42,0.8,0.818182,0.804124,0.86,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,0.804088,0.604183,0.746032,0.587658,0.528182,t,f,f,f,YES
1,1,0.969697,0,0,0.870792,0,1,0.09,0.09,0.112,0,0.067568,0.13,0.13,0.98,0.83,0.857143,0,0,0.9,0,1,0.08,0.08,0.99,0.96,1,1,1,1,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,0.934752,0.738761,0.849206,0.716352,0.77,t,f,f,f,YES
0.85,0.65625,0.911515,0,0.1,0.960873,0.909091,1,0,0,0.133333,1,0.067568,0,0,0.98,0.86,0.857143,0,0,1,1,1,0,0,0.59,0.51,0.64,0.878788,0.865979,0.9,f,f,t,t,f,f,f,f,t,f,f,f,f,f,f,0.924701,0.659597,0.785714,0.707773,0.636363,t,f,f,f,NO
0.73,0.625,0.872727,0,0.4,0.360328,0,1,0.55,0.64,0.036,0,0.067568,0.63,0.75,0.74,0,0.857143,0.15,0.31,0.9,0,1,0.08,0.08,0.3,0.06,0.58,0.828283,0.835052,0.84,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.512606,0.691262,0.253968,0.476122,0.515454,t,f,f,f,NO
0.76,0.65625,0.814545,0,0.2,0.850773,0.737374,1,0,0,0.106667,0.5,0.067568,0,0.25,0.95,0.69,0.857143,0,0.08,0.96,0.57,1,0,0.08,0.39,0.27,0.46,0.89899,0.886598,0.94,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.834241,0.715012,0.714286,0.656295,0.680909,t,f,f,f,NO
0.7,0.447917,0.833939,0,0.4,0.590537,0,0.98,0.09,0.36,0.106667,0,0.067568,0.13,0.25,0.73,0,0.857143,0.08,0.31,0.97,0.83,1,0,0,0.45,0.24,0.78,0.727273,0.731959,0.75,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.673424,0.635848,0.714286,0.784989,0.636363,t,f,f,f,YES
