@relation cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R61-66-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute 'Took 416' {YES,NO}

@data
0.54,0,0.843636,0.1,0.6,0.180164,0,1,0.82,0.82,0.054667,0,0.067568,0.5,0.63,0.17,0,0.857143,0.69,0.92,0.55,0,1,0.25,0.67,0.07,0,0.21,0.343434,0,0.77,f,f,t,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.261329,0.41419,0.515873,0.467543,0.267273,t,f,f,f,NO
0.61,0.395833,0.843636,0,0.8,0.410373,0,0.99,0.36,0.73,0.057333,0,0.067568,0.38,0.75,0.48,0,0.857143,0.46,0.54,0.9,0,1,0.08,0.08,0.23,0.08,0.45,0.676768,0.587629,0.8,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.482453,0.596266,0.285714,0.501861,0.77,t,f,f,f,NO
0.81,0.583333,0.872727,0,0.1,0.750682,0,0.98,0.18,0.18,0.076,0,0.067568,0.25,0.5,0.95,0.75,0.857143,0,0,0.99,0.86,1,0,0,0.88,0.78,0.98,0.919192,0.917526,0.93,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.814139,0.754593,0.468254,0.724932,0.623636,t,f,f,f,YES
0.6,0.447917,0.707879,0,0.8,0.570519,0,0.97,0.18,0.55,0.108,0.25,0.067568,0,0.25,0.81,0,0.857143,0.08,0.15,0.97,0.83,1,0,0,0.44,0.19,0.6,0.878788,0.876289,0.89,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.683475,0.715012,0.833333,0.647715,0.598182,t,f,f,f,YES
0.62,0.458333,0.872727,0,0.7,0.730664,0,1,0.09,0.18,0.04,0,0.067568,0.5,0.88,0.8,0,0.857143,0.15,0.23,0.75,0,1,0.17,0.25,0.45,0.27,0.58,0.767677,0.742268,0.78,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.683475,0.643764,0.65873,0.424645,0.852727,t,f,f,f,NO
0.17,0,0.54303,0.6,1,0.070064,0,0.8,0.91,0.91,0.041333,0,0.067568,0.63,0.75,0.31,0,0.857143,0.69,0.69,0.35,0,1,0.58,0.67,0.08,0,0.25,0.242424,0,0.72,f,f,t,f,t,t,f,t,f,f,f,f,f,t,f,f,f,f,f,0.150766,0.461688,0.674603,0.244472,0.184545,t,f,f,f,NO
0.64,0.395833,0.746667,0,0.6,0.67061,0,1,0.09,0.27,0.108,0.25,0.067568,0,0.25,0.76,0,0.857143,0.15,0.23,0.92,0.5,1,0,0.08,0.39,0.14,0.65,0.737374,0.690722,0.77,f,f,t,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.703577,0.730844,0.65873,0.639135,0.642727,t,f,f,f,NO
0.91,0.708333,0.969697,0,0.1,0.940855,0.717172,1,0,0,0.128,0.75,0.067568,0,0,1,1,0.857143,0,0,0.99,0.86,1,0,0,0.98,0.95,1,0.949495,0.927835,0.98,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.954854,0.778342,0.785714,0.733511,0.649091,t,f,f,f,YES
0.54,0.322917,0.756364,0,0.7,0.630573,0.151515,0.95,0,0.55,0.06,0.11,0.067568,0,0.75,0.77,0.33,0.857143,0,0.38,0.97,0.75,1,0,0,0.45,0.24,0.58,0.585859,0.505155,0.63,f,f,t,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.653321,0.612099,0.730159,0.716352,0.642727,t,f,f,f,NO
0.52,0.229167,0.678788,0,0.9,0.590537,0,0.98,0.18,0.45,0.065333,0,0.067568,0.38,0.63,0.78,0,0.857143,0.15,0.23,0.92,0.67,1,0,0.08,0.43,0.22,0.56,0.505051,0.484536,0.54,f,f,t,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.613117,0.683346,0.68254,0.621976,0.642727,t,f,f,f,YES
