@relation 'cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R60-61,63,65-66-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute 'Took 520' {YES,NO}

@data
0.764493,0.6875,0.888889,0,0.1125,0.977577,0.909091,1,0,0,0.932584,0.75,1,0,0,0.931991,0.75,0,0,0,0.94,0.5,0,0,0.119403,0.76,0.68,0.81,0.929293,0.896907,0.98,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.919059,0.822974,0.822423,0.584544,0.892562,t,f,f,f,NO
0.934582,0.864583,1,0,0,0.930595,0.858586,1,0,0,1,1,1,0,0,0.945593,0.77,0,0,0,0.955,0.75,0,0,0,0.95,0.86,1,0.959596,0.927835,0.97,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.943996,0.606472,0.759749,0.560149,0.85124,t,f,f,f,NO
0.75141,0.65625,0.777778,0,0.225,0.625216,0,1,0.212727,0.212727,0.820225,0.44,1,0,0.25,0.727965,0,0,0.117647,0.302632,0.685,0,0,0.12,0.492537,0.74,0.64,0.86,0.89899,0.824742,0.95,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.707093,0.80751,1,0.352791,0.694215,t,f,f,f,NO
1,1,1,0,0,0.848378,0,1,0.106364,0.106364,0.820225,0,1,0.1625,0.13,0.972797,0.83,0,0,0,0.85,0,0,0.12,0.119403,0.99,0.96,1,1,1,1,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.919059,0.730188,0.885097,0.596742,1,t,f,f,f,YES
0.803745,0.65625,0.777778,0,0.1125,0.954086,0.909091,1,0,0,1,1,1,0,0,0.972797,0.86,0,0,0,1,1,0,0,0,0.59,0.51,0.64,0.878788,0.865979,0.9,f,f,t,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.90659,0.575544,0.801532,0.584544,0.826446,t,f,f,f,NO
0.424317,0,0.555556,0.3,0.5625,0.76616,0,1,0.106364,0.106364,0,0,0.175,0.9375,1,0.306311,0,0,0.676471,0.710526,0.1,0,0,0.75,1,0.83,0.73,0.92,0.828283,0.835052,0.84,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.619813,0.467293,0.843315,0.267408,0.570248,t,f,f,f,YES
0.607489,0.447917,0.481481,0,0.45,0.519507,0,0.6,0.106364,0.425454,0.775281,0,1,0.1625,0.25,0.632753,0,0,0.117647,0.407895,0.955,0.83,0,0,0,0.45,0.24,0.78,0.727273,0.731959,0.75,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.594876,0.52915,0.707521,0.694322,0.826446,t,f,f,f,YES
0.803745,0.729167,0.777778,0,0,0.836632,0.757576,1,0,0,0.662921,0.25,1,0,0.25,0.795974,0,0,0.220588,0.197368,0.88,0,0,0.12,0.119403,0.99,0.98,1,0.909091,0.896907,0.96,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.856716,0.80751,0.749304,0.974866,0.966942,t,f,f,f,NO
0.659824,0.614583,0.666667,0,0.225,0.719179,0.40404,0.6,0,0.425454,0.325843,0,1,0.475,0.63,0.700762,0,0,0.220588,0.302632,0.625,0,0,0.375,0.373134,0.46,0.46,0.47,0.808081,0.783505,0.85,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.694625,0.637401,0.885097,0.047852,0.966942,t,f,f,f,NO
0.869163,0.78125,1,0,0,0.907105,0.747475,1,0,0,0.191011,0,1,0.7875,0.75,0.823177,0,0,0.117647,0.105263,0.88,0,0,0.12,0.119403,0.94,0.84,1,0.868687,0.752577,0.96,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.869185,0.575544,0.738858,0.499161,0.966942,t,f,f,f,NO
