"Code","Q Avg","Q Min","Q Max","Q % Zeros","Q % below 70%","P Avg","P Min","P Max","P % Zeros","P % below 70%","PRE Avg","PRE Min","PRE Max","PRE % Zeros","PRE % below 70%","L Avg","L Min","L Max","L % Zeros","L % below 70%","R Avg","R Min","R Max","R % Zeros","R % below 70%","OLE Avg","OLE Min","OLE Max","Exam Avg","Exam Min","Exam Max","Male","Female","CS Major","ECE major","Standing","Math Class","415 Final Grade","Q Diff","P Diff","L Diff","R Diff","Took 416","416 Grade","Took 515","515 Grade","Took 520","520 Grade","Graduated with CS Degree","Semester"
3,0.85,0.70,0.94,0.00,0.00,0.86,0.75,1.00,0.00,0.00,0.70,0.25,1.00,0.00,0.25,0.85,0.00,1.00,0.15,0.15,0.92,0.00,1.00,0.08,0.08,0.99,0.98,1.00,0.90,0.87,0.96,1.00,0.00,1.00,0.00,0.00,3.00,0.88,0.06,-0.04,0.29,0.17,1.00,3.67,1.00,3.00,0.00,-1.00,1.00,0
146,0.74,0.59,0.91,0.00,0.20,0.76,0.40,0.98,0.00,0.36,0.40,0.00,1.00,0.38,0.63,0.78,0.00,1.00,0.15,0.23,0.75,0.00,1.00,0.25,0.25,0.46,0.46,0.47,0.80,0.76,0.85,1.00,0.00,1.00,0.00,0.00,2.00,0.75,-0.05,0.09,-0.47,0.17,1.00,2.33,1.00,1.00,0.00,-1.00,0.00,0
140,0.56,0.44,0.88,0.00,0.70,0.86,0.65,1.00,0.00,0.09,0.38,0.00,1.00,0.38,0.75,0.81,0.00,1.00,0.08,0.23,0.50,0.00,1.00,0.50,0.50,0.34,0.13,0.57,0.70,0.59,0.77,1.00,0.00,1.00,0.00,1.00,2.00,0.71,-0.12,0.00,-0.02,-0.33,1.00,1.67,0.00,-1.00,0.00,-1.00,0.00,0
51,0.62,0.37,0.88,0.00,0.70,0.67,0.00,0.87,0.09,0.27,0.56,0.00,1.00,0.25,0.50,0.80,0.00,1.00,0.08,0.23,0.43,0.00,1.00,0.50,0.58,0.33,0.10,0.56,0.76,0.65,0.86,1.00,0.00,0.00,0.00,0.00,0.00,0.63,0.13,0.16,-0.17,-0.20,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
289,0.46,0.00,0.75,0.20,0.80,0.41,0.00,1.00,0.45,0.64,0.34,0.00,1.00,0.63,0.63,0.54,0.00,1.00,0.38,0.46,0.71,0.00,1.00,0.25,0.25,0.20,0.00,0.49,0.32,0.00,0.63,0.00,0.00,1.00,0.00,0.00,2.00,0.40,-0.24,-0.75,-0.69,-0.46,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
377,0.90,0.75,1.00,0.00,0.00,0.92,0.74,1.00,0.00,0.00,0.28,0.00,1.00,0.63,0.75,0.87,0.00,1.00,0.08,0.08,0.92,0.00,1.00,0.08,0.08,0.94,0.84,1.00,0.86,0.73,0.96,1.00,0.00,0.00,1.00,0.00,0.00,0.89,-0.09,-0.05,-0.10,0.17,1.00,3.33,1.00,2.67,0.00,-1.00,0.00,0
238,0.93,0.77,1.00,0.00,0.00,0.97,0.88,1.00,0.00,0.00,0.89,0.50,1.00,0.00,0.25,0.87,0.00,1.00,0.08,0.15,1.00,1.00,1.00,0.00,0.00,1.00,0.99,1.00,0.97,0.97,0.98,1.00,0.00,0.00,1.00,0.00,0.00,0.96,0.10,-0.01,0.20,0.00,1.00,4.00,1.00,3.33,0.00,-1.00,1.00,0
207,0.86,0.69,1.00,0.00,0.10,0.87,0.64,1.00,0.00,0.09,0.45,0.00,1.00,0.50,0.50,0.99,0.91,1.00,0.00,0.00,0.92,0.00,1.00,0.08,0.08,0.88,0.69,1.00,0.89,0.85,0.92,1.00,0.00,1.00,0.00,0.00,4.00,0.87,0.03,-0.11,-0.02,0.17,1.00,2.00,1.00,2.33,1.00,0.00,0.00,0
241,0.90,0.66,1.00,0.00,0.10,0.99,0.96,1.00,0.00,0.00,0.97,0.78,1.00,0.00,0.00,0.98,0.73,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.99,1.00,0.99,0.97,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.98,-0.08,-0.01,-0.05,0.00,1.00,4.00,0.00,-1.00,0.00,-1.00,0.00,0
182,0.705682894,0,0.916666667,0.1,0.3,0.267272727,0,1,0.727272727,0.727272727,0,0,0,1,1,0.363636364,0,1,0.636363636,0.636363636,0.666666667,0,1,0.333333333,0.333333333,0.73,0.51,0.95,0.27,0,0.54,1,0,0,0,1,0,0.413056332,-0.078032454,-0.49,-0.363636364,-0.3,1,0,0,-1,0,-1,0,1
112,0.772714249,0.466666667,0.9375,0,0.3,0.974545455,0.93,1,0,0,0.725,0.6,1,0,0.5,0.920454545,0,1,0.045454545,0.045454545,0.888888889,0,1,0.111111111,0.111111111,0.98,0.96,1,0.635,0.52,0.75,0,0,1,0,0,3,0.915471691,0.106042089,-0.015666667,0.107575758,0.2,0,-1,0,-1,0,-1,0,1
383,0.660213123,0,0.966666667,0.2,0.2,0.609090909,0,1,0.363636364,0.363636364,0.2,0,0.8,0.75,0.75,0.7875,0,1,0.181818182,0.227272727,0.777777778,0,1,0.222222222,0.222222222,0.49,0,0.98,0.235,0,0.47,1,0,1,0,1,3,0.620684927,-0.320834742,-0.757333333,-0.425,-0.5,1,3,1,1.33,0,-1,0,1
98,0.71357984,0.586206897,0.84375,0,0.3,0.831818182,0.49,1,0,0.181818182,0.75,0.4,1,0,0.25,0.898030303,0,1,0.045454545,0.090909091,0.888888889,0,1,0.111111111,0.111111111,0.545,0.32,0.77,0.52,0.46,0.58,1,0,1,0,0,2,0.796457423,-0.049136804,-0.190333333,0.016060606,0.2,0,-1,0,-1,0,-1,0,1
343,0.687786089,0.46875,0.875,0,0.5,0.632727273,0,0.98,0.181818182,0.363636364,0.35,0,0.9,0.5,0.75,0.832575758,0,1,0.136363636,0.181818182,0.666666667,0,1,0.333333333,0.333333333,0.535,0.44,0.63,0.505,0.31,0.7,1,0,0,1,0,0,0.663764251,-0.019689824,-0.569666667,-0.125757576,0.15,1,2,1,2,0,-1,0,1
209,0.616136466,0.441176471,0.794117647,0,0.8,0.690909091,0,1,0.090909091,0.363636364,0.45,0,1,0.5,0.5,0.836893939,0,1,0.090909091,0.181818182,1,1,1,0,0,0.405,0.35,0.46,0.495,0.41,0.58,0,0,0,0,2,0,0.688974588,-0.006210841,-0.405,0.051969697,0,0,-1,0,-1,0,-1,0,1
328,0.720657821,0,0.970588235,0.1,0.3,0.585454545,0,1,0.181818182,0.363636364,0,0,0,1,1,0.843636364,0,1,0.136363636,0.181818182,0.777777778,0,1,0.222222222,0.222222222,0.96,0.92,1,0.335,0,0.67,0,1,1,0,1,4,0.654847322,0.151985012,-0.717666667,-0.123636364,0.4,0,-1,0,-1,0,-1,1,1
299,0.790606406,0,0.972222222,0.1,0.1,0.737272727,0,1,0.090909091,0.272727273,0.5,0,0.9,0.25,0.75,0.859469697,0,1,0.090909091,0.090909091,0.777777778,0,1,0.222222222,0.222222222,0.96,0.92,1,0.585,0.47,0.7,1,0,1,0,0,3,0.780337377,0.184473462,-0.471666667,-0.178030303,-0.05,1,2,1,2,1,2,0,1
172,0.816211686,0.655172414,0.941176471,0,0.1,0.598181818,0,1,0.181818182,0.454545455,0.625,0,1,0.25,0.5,0.928409091,0.6,1,0,0.045454545,0.444444444,0,1,0.555555556,0.555555556,0.965,0.95,0.98,0.57,0.49,0.65,1,0,0,1,0,0,0.716172008,0.048540681,-0.458666667,-0.034090909,-0.35,1,0,0,-1,0,-1,0,1
135,0.255329192,0,0.896551724,0.6,0.9,0.531818182,0,1,0.363636364,0.454545455,0,0,0,1,1,0.822348485,0,1,0.136363636,0.181818182,0.666666667,0,1,0.333333333,0.333333333,0.475,0,0.95,0.205,0,0.41,1,0,1,0,0,2,0.502186352,-0.298158384,-0.817333333,-0.128030303,-0.3,0,-1,0,-1,0,-1,0,1
337,0.159411765,0,0.8,0.8,0.8,0.181818182,0,1,0.818181818,0.818181818,0,0,0,1,1,0.278787879,0,1,0.681818182,0.727272727,0.222222222,0,1,0.777777778,0.777777778,0,0,0,0,0,0,1,0,0,0,0,0,0.166203081,-0.318823529,-0.333333333,-0.375757576,-0.4,1,0,0,-1,0,-1,0,1
396,0.636371563,0.444444444,0.764705882,0,0.8,0.916363636,0.76,1,0,0,0.8,0.3,1,0,0.25,0.918181818,0.5,1,0,0.090909091,1,1,1,0,0,0.695,0.47,0.92,0.525,0.4,0.65,1,0,0,1,0,0,0.841154776,-0.095373845,-0.03,-0.072727273,0,1,1.67,1,1.67,0,-1,0,1
15,0.677383931,0.294117647,0.896551724,0,0.4,0.353636364,0,1,0.454545455,0.636363636,0.175,0,0.7,0.75,0.75,0.527348485,0,1,0.318181818,0.545454545,0.888888889,0,1,0.111111111,0.111111111,0.405,0.4,0.41,0.55,0.47,0.63,1,0,0,0,1,0,0.487374351,-0.270127338,-0.564,-0.347121212,-0.25,0,-1,0,-1,0,-1,0,1
170,0.308088235,0,0.875,0.6,0.6,0.344545455,0,1,0.545454545,0.636363636,0.075,0,0.3,0.75,1,0.474242424,0,1,0.454545455,0.545454545,0.222222222,0,1,0.777777778,0.777777778,0.365,0,0.73,0.195,0,0.39,1,0,1,0,1,4,0.345089435,-0.616176471,-0.631666667,-0.593939394,-0.4,0,-1,0,-1,0,-1,1,1
188,0.853773383,0.722222222,1,0,0,0.931818182,0.72,1,0,0,0.8625,0.75,1,0,0,0.989015152,0.85,1,0,0,1,1,1,0,0,0.85,0.81,0.89,0.625,0.58,0.67,1,0,1,0,0,4,0.919781302,-0.002318008,-0.069333333,-0.021969697,0,1,3,1,3,1,3,0,1
354,0.938815359,0.75,1.03125,0,0,0.862727273,0.24,1,0,0.181818182,0.8375,0.6,1,0,0.25,0.927121212,0.4,1,0,0.090909091,0.888888889,0,1,0.111111111,0.111111111,1,1,1,0.685,0.58,0.79,1,0,0,0,2,0,0.901737892,-0.094869281,-0.074666667,-0.078484848,-0.25,0,-1,0,-1,0,-1,0,1
156,0.616360012,0.444444444,1,0,0.8,0.430909091,0,0.98,0.363636364,0.636363636,0.2875,0,0.75,0.5,0.75,0.745075758,0,1,0.045454545,0.363636364,1,1,1,0,0,0.435,0.26,0.61,0.385,0.35,0.42,1,0,1,0,0,2,0.54117852,-0.128716757,-0.735,-0.437121212,0,0,-1,0,-1,0,-1,0,1
197,0.831399453,0.666666667,0.970588235,0,0.2,0.888181818,0.69,1,0,0.090909091,0.75,0.5,1,0,0.25,0.96219697,0.833333333,1,0,0,1,1,1,0,0,0.965,0.95,0.98,0.655,0.57,0.74,1,0,0,1,0,0,0.897874081,0.027070374,-0.059,-0.059242424,0,1,2.33,1,1.67,0,-1,0,1
101,0.352322938,0,0.666666667,0.1,1,0.586363636,0,1,0.090909091,0.363636364,0.275,0,0.6,0.5,1,0.905681818,0.166666667,1,0,0.090909091,0.888888889,0,1,0.111111111,0.111111111,0.1,0,0.2,0.26,0.2,0.32,1,0,0,1,1,0,0.553457084,-0.318371366,-0.671666667,-0.134090909,0.2,0,-1,0,-1,0,-1,0,1
13,0.402856801,0.205882353,0.586206897,0,1,0.473636364,0,1,0.363636364,0.545454545,0.475,0,0.8,0.25,0.75,0.763409091,0,1,0.136363636,0.272727273,0.555555556,0,1,0.444444444,0.444444444,0.185,0.02,0.35,0.215,0,0.43,1,0,0,1,0,0,0.481256174,-0.25220053,-0.795,-0.019242424,-0.1,0,-1,0,-1,0,-1,0,1
340,0.580244675,0.352941176,0.764705882,0,0.6,0.697272727,0,1,0.090909091,0.272727273,0.7625,0.6,0.9,0,0.25,0.920454545,0.4,1,0,0.090909091,1,1,1,0,0,0.325,0.15,0.5,0.445,0.39,0.5,1,0,0,0,0,0,0.695991629,-0.121763861,-0.468,0.068181818,0,1,1.33,1,1,0,-1,0,1
245,0.706184218,0.53125,0.911764706,0,0.5,0.9,0.65,1,0,0.090909091,0.875,0.7,1,0,0,0.841666667,0,1,0.045454545,0.136363636,1,1,1,0,0,0.475,0.43,0.52,0.565,0.48,0.65,1,0,0,1,0,0,0.826689249,-0.076992619,-0.102666667,-0.040909091,0,1,1.33,1,1.33,0,-1,0,1
184,0.772592827,0.46875,0.970588235,0,0.2,0.809090909,0.21,1,0,0.181818182,0.95,0.9,1,0,0,0.916439394,0.333333333,1,0,0.090909091,1,1,1,0,0,0.45,0.42,0.48,0.56,0.53,0.59,1,0,1,0,0,5,0.806767931,-0.168796766,-0.335666667,0.014090909,0,0,-1,0,-1,0,-1,0,1
44,0.490267495,0.222222222,0.676470588,0,1,0.787272727,0.39,1,0,0.363636364,0.55,0,1,0.25,0.75,0.912878788,0.5,1,0,0.090909091,1,1,1,0,0,0.45,0.44,0.46,0.43,0.29,0.57,1,0,1,0,0,2,0.721910508,-0.165829108,-0.094,0.043939394,0,0,-1,0,-1,0,-1,0,1
138,0.928398129,0.805555556,1,0,0,0.966363636,0.92,1,0,0,0.925,0.8,1,0,0,0.982575758,0.75,1,0,0,1,1,1,0,0,1,1,1,0.63,0.56,0.7,0,0,0,0,2,0,0.959923506,-0.015047893,-0.015333333,-0.025757576,0,0,-1,0,-1,0,-1,0,1
332,0.669524031,0.527777778,0.823529412,0,0.6,0.688181818,0,1,0.090909091,0.363636364,0.55,0,0.9,0.25,0.5,0.853787879,0,1,0.045454545,0.136363636,0.888888889,0,1,0.111111111,0.111111111,0.45,0.05,0.85,0.425,0.36,0.49,1,0,1,0,0,2,0.69571584,-0.126139565,-0.488,-0.137878788,-0.25,0,-1,0,-1,0,-1,0,1
59,0.826206897,0.7,0.941176471,0,0,0.9,0.68,1,0,0.090909091,0.725,0,1,0.25,0.25,0.978409091,0.75,1,0,0,0.555555556,0,1,0.444444444,0.444444444,0.875,0.75,1,0.64,0.54,0.74,1,0,0,1,0,0,0.877015917,0.073566599,0.011,-0.043181818,-1,1,0.67,1,0,0,-1,0,1
71,0.070588235,0,0.705882353,0.9,0.9,0.159090909,0,1,0.818181818,0.818181818,0,0,0,1,1,0.225,0,1,0.772727273,0.772727273,0.222222222,0,1,0.777777778,0.777777778,0,0,0,0,0,0,1,0,0,0,0,0,0.131510937,-0.141176471,-0.291666667,-0.277272727,-0.4,0,-1,0,-1,0,-1,1,1
373,0.932188979,0.794117647,1,0,0,0.958181818,0.85,1,0,0,0.9,0.6,1,0,0.25,0.95719697,0.775,1,0,0,1,1,1,0,0,0.99,0.98,1,0.69,0.57,0.81,1,0,1,0,0,3,0.956568049,0.090524003,0.007,-0.037121212,0,1,4,1,3,1,2,0,1
116,0.318824375,0.117647059,0.617647059,0,1,0.424545455,0,0.96,0.363636364,0.636363636,0.35,0,0.8,0.5,0.75,0.75530303,0,1,0.045454545,0.363636364,0.444444444,0,1,0.555555556,0.555555556,0.09,0,0.18,0.2,0.08,0.32,1,0,0,0,0,0,0.42473976,-0.273433063,-0.723333333,0.013636364,0.1,0,-1,0,-1,0,-1,1,1
284,0.906262959,0.766666667,1,0,0,0.941818182,0.84,1,0,0,0.475,0,1,0.5,0.5,0.950757576,0.6,1,0,0.045454545,0.666666667,0,1,0.333333333,0.333333333,1,1,1,0.675,0.58,0.77,1,0,1,0,0,3,0.917595024,0.047441402,-0.080333333,-0.071212121,-0.3,1,3,1,3,1,2,0,1
350,0.728311922,0.555555556,0.972222222,0,0.5,0.743636364,0.3,1,0,0.363636364,0.2,0,0.7,0.5,0.75,0.908712121,0.1,1,0,0.090909091,1,1,1,0,0,0.43,0.38,0.48,0.515,0.41,0.62,1,0,1,0,0,2,0.74197599,0.02654609,-0.267,0.017424242,0,1,0,0,-1,0,-1,0,1
150,0.281399594,0,0.655172414,0.5,1,0.171818182,0,1,0.818181818,0.818181818,0.175,0,0.7,0.75,0.75,0.403030303,0,1,0.5,0.636363636,0,0,0,1,1,0.09,0,0.18,0.185,0,0.37,1,0,0,0,0,0,0.221254733,-0.562799189,-0.315,-0.548484848,0,0,-1,0,-1,0,-1,1,1
93,0.884881536,0,1,0.1,0.1,0.991818182,0.95,1,0,0,0.75,0,1,0.25,0.25,1,1,1,0,0,1,1,1,0,0,1,1,1,0.695,0.58,0.81,1,0,1,0,0,3,0.967945917,-0.216903595,0.015,0,0,1,4,1,4,1,3.33,0,1
361,0.694666864,0,0.911764706,0.1,0.3,0.457272727,0,1,0.272727273,0.636363636,0.35,0,0.8,0.5,0.75,0.908712121,0.375,1,0,0.181818182,0.777777778,0,1,0.222222222,0.222222222,0.96,0.92,1,0.585,0.48,0.69,1,0,1,0,0,3,0.633340875,-0.074219349,-0.596333333,-0.182575758,-0.5,0,-1,0,-1,0,-1,0,1
387,0.553891988,0.176470588,0.78125,0,0.7,0.678181818,0,1,0.090909091,0.272727273,0.75,0.5,1,0,0.5,0.916060606,0.6,1,0,0.090909091,0.777777778,0,1,0.222222222,0.222222222,0.485,0.4,0.57,0.405,0.36,0.45,1,0,1,0,0,2,0.6791846,-0.308029074,-0.477,-0.08969697,0.4,0,-1,0,-1,0,-1,0,1
2,0.154379085,0,0.588235294,0.7,1,0.38,0,0.99,0.545454545,0.545454545,0.375,0,0.8,0.5,0.5,0.427272727,0,1,0.5,0.590909091,0.333333333,0,1,0.666666667,0.666666667,0.215,0,0.43,0.19,0,0.38,1,0,1,0,0,2,0.329533526,-0.153202614,-0.374,-0.536363636,-0.6,0,-1,0,-1,0,-1,0,1
179,0.488586601,0,0.866666667,0.3,0.6,0.937272727,0.85,1,0,0,0.8375,0.75,1,0,0,0.914772727,0.125,1,0,0.090909091,1,1,1,0,0,0.875,0.75,1,0.595,0.43,0.76,0,0,0,0,1,0,0.84234356,-0.150375817,-0.042666667,-0.052272727,0,1,2.67,1,0,0,-1,0,1
111,0.787524651,0.666666667,0.875,0,0.1,0.917272727,0.8,1,0,0,0.6,0,1,0.25,0.5,0.938333333,0.6,1,0,0.090909091,1,1,1,0,0,0.855,0.71,1,0.525,0.39,0.66,1,0,1,0,0,3,0.87701646,0.027483378,-0.042666667,-0.116060606,0,1,3,1,1,1,0,0,1
189,0.802895256,0.689655172,0.882352941,0,0.1,0.550909091,0,1,0.272727273,0.545454545,0.5,0,0.9,0.25,0.5,0.471060606,0,1,0.454545455,0.545454545,0.888888889,0,1,0.111111111,0.111111111,0.645,0.55,0.74,0.6,0.49,0.71,1,0,0,0,0,0,0.623082278,0.00654609,-0.705666667,-0.054242424,-0.25,0,-1,0,-1,0,-1,1,1
278,0.880524144,0.75,0.944444444,0,0,0.945454545,0.83,1,0,0,0.65,0.2,1,0,0.5,0.937121212,0,1,0.045454545,0.045454545,0.888888889,0,1,0.111111111,0.111111111,1,1,1,0.66,0.55,0.77,1,0,0,0,1,0,0.925290515,0.007905961,-0.043,-0.089393939,-0.25,1,2.67,1,3,1,2.67,0,1
368,0.572227011,0.352941176,0.793103448,0,0.8,0.377272727,0,1,0.545454545,0.636363636,0.25,0,0.8,0.5,0.75,0.531818182,0,1,0.318181818,0.5,0.888888889,0,1,0.111111111,0.111111111,0,0,0,0.2,0,0.4,1,0,0,0,0,0,0.422277805,-0.16234618,-0.691666667,-0.575757576,0.2,0,-1,0,-1,0,-1,0,1
282,0.696228448,0.5,0.931034483,0,0.6,0.961818182,0.9,1,0,0,0.85,0.6,1,0,0.25,0.928030303,0.375,1,0,0.090909091,1,1,1,0,0,0.685,0.57,0.8,0.59,0.48,0.7,0,1,1,0,0,2,0.88180717,-0.198339249,0.007666667,-0.125757576,0,0,-1,0,-1,0,-1,0,1
8,0.707129536,0,1,0.1,0.2,0.744545455,0.07,1,0,0.363636364,0.55,0.1,1,0,0.75,0.820833333,0,1,0.090909091,0.181818182,0.333333333,0,1,0.666666667,0.666666667,0.945,0.9,0.99,0.565,0.46,0.67,1,0,1,0,0,2,0.741686264,0.116704981,-0.345666667,-0.285606061,-0.6,1,1.67,1,1.33,0,-1,0,1
122,0.700000704,0.5,0.90625,0,0.5,0.729090909,0,1,0.090909091,0.272727273,0.7,0.3,1,0,0.5,0.9375,0.6,1,0,0.045454545,1,1,1,0,0,0.645,0.59,0.7,0.485,0.47,0.5,1,0,1,0,0,2,0.758422968,-0.275818402,-0.563,-0.097727273,0,0,-1,0,-1,0,-1,0,1
288,0.608666188,0.375,0.733333333,0,0.7,0.941818182,0.76,1,0,0,0.75,0.6,1,0,0.5,0.970075758,0.8,1,0,0,0.777777778,0,1,0.222222222,0.222222222,0.57,0.43,0.71,0.435,0.4,0.47,1,0,1,0,0,2,0.830713218,-0.037267016,0.018666667,-0.014393939,-0.5,0,-1,0,-1,0,-1,0,1
320,0.796045329,0.694444444,0.882352941,0,0.1,0.958181818,0.88,1,0,0,0.85,0.6,1,0,0.25,0.9375,0.6,1,0,0.045454545,1,1,1,0,0,0.55,0.52,0.58,0.545,0.45,0.64,1,0,0,0,3,0,0.886841732,-0.042172357,-0.040666667,0.002272727,0,0,-1,0,-1,0,-1,0,1
275,0.296909652,0,0.65625,0.5,1,0,0,0,1,1,0,0,0,1,1,0.350454545,0,1,0.454545455,0.681818182,0.222222222,0,1,0.777777778,0.777777778,0.325,0,0.65,0.145,0,0.29,1,0,1,0,0,2,0.150974914,-0.593819304,0,-0.616060606,-0.4,0,-1,0,-1,0,-1,1,1
177,0.984142157,0.933333333,1,0,0,0.999090909,0.99,1,0,0,0.925,0.8,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0.71,0.6,0.82,1,0,1,0,0,4,0.994916304,0.01995098,-0.002,0,0,1,4,1,4,1,4,0,1
63,0.788289666,0.666666667,0.970588235,0,0.2,0.905454545,0.62,1,0,0.090909091,0.875,0.7,1,0,0,0.900757576,0.416666667,1,0,0.045454545,0.888888889,0,1,0.111111111,0.111111111,0.675,0.6,0.75,0.625,0.48,0.77,0,0,0,1,3,0,0.865186351,0.065495831,-0.050333333,-0.062121212,0.2,0,-1,0,-1,0,-1,1,1
25,0.916163089,0.705882353,1,0,0,0.865454545,0,1,0.090909091,0.090909091,0.6125,0,0.9,0.25,0.25,0.928030303,0,1,0.045454545,0.045454545,0.666666667,0,1,0.333333333,0.333333333,1,1,1,0.635,0.5,0.77,1,0,1,0,0,3,0.878668904,-0.009940557,-0.222666667,0.11969697,-0.3,1,4,1,2.67,1,2,0,1
363,0.185098039,0,0.8,0.7,0.9,0.315454545,0,1,0.545454545,0.727272727,0,0,0,1,1,0.181818182,0,1,0.818181818,0.818181818,0.111111111,0,1,0.888888889,0.888888889,0.325,0,0.65,0,0,0,1,0,1,0,1,4,0.236117029,-0.370196078,-0.578333333,-0.363636364,-0.2,0,-1,0,-1,0,-1,1,1
267,0.927279412,0.805555556,1,0,0,0.943636364,0.84,1,0,0,0.875,0.7,1,0,0,0.930681818,0,1,0.045454545,0.045454545,1,1,1,0,0,1,1,1,0.65,0.54,0.76,1,0,1,0,0,5,0.941356331,-0.059215686,-0.028666667,0.097727273,0,1,4,1,4,1,4,0,1
194,0.880724307,0.764705882,1,0,0,0.956363636,0.89,1,0,0,0.975,0.9,1,0,0,0.934848485,0.4,1,0,0.045454545,1,1,1,0,0,1,1,1,0.67,0.56,0.78,1,0,0,1,0,0,0.943906236,0.056198445,-0.008,-0.039393939,0,0,-1,1,3.67,0,-1,0,1
92,0.708458559,0.413793103,0.96875,0,0.5,0.864545455,0.44,1,0,0.090909091,0.75,0.6,1,0,0.5,0.828030303,0,1,0.090909091,0.181818182,0.888888889,0,1,0.111111111,0.111111111,0.975,0.95,1,0.51,0.38,0.64,1,0,0,1,1,0,0.826455263,0.038801837,-0.136666667,0.310606061,-0.25,1,1,1,0,0,-1,0,1
83,0.8169667,0,1,0.1,0.1,0.651818182,0,1,0.272727273,0.272727273,0.825,0.6,1,0,0.25,0.957575758,0.533333333,1,0,0.045454545,0.666666667,0,1,0.333333333,0.333333333,0.91,0.82,1,0.655,0.53,0.78,1,0,1,0,1,2,0.764625631,-0.183933401,-0.249,-0.057575758,-0.3,0,-1,0,-1,0,-1,1,1
286,0.865727828,0.793103448,1,0,0,0.850909091,0,1,0.090909091,0.181818182,0.5,0,0.9,0.25,0.75,0.875530303,0,1,0.090909091,0.090909091,0.888888889,0,1,0.111111111,0.111111111,0.99,0.98,1,0.61,0.52,0.7,1,0,0,0,2,0,0.859960767,0.000733886,-0.317,0.001969697,-0.25,1,3.33,1,2.67,1,1,0,1
123,0.633686049,0.411764706,0.84375,0,0.7,0.424545455,0,1,0.363636364,0.636363636,0.4125,0,0.8,0.25,0.75,0.8,0,1,0.045454545,0.272727273,1,1,1,0,0,0.16,0.04,0.28,0.41,0.36,0.46,1,0,1,0,0,2,0.537242949,-0.180689092,-0.723333333,-0.345454545,0,0,-1,0,-1,0,-1,0,1
271,0.779859562,0.617647059,0.972222222,0,0.2,0.435454545,0,1,0.454545455,0.545454545,0.125,0,0.5,0.75,1,0.798257576,0,1,0.045454545,0.272727273,1,1,1,0,0,0.61,0.52,0.7,0.555,0.45,0.66,1,0,1,0,0,2,0.601521078,-0.018624352,-0.798333333,-0.352575758,0,1,0,0,-1,0,-1,0,1
158,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.090909091,0,1,0.909090909,0.909090909,0,0,0,1,1,0.35,0,0.7,0,0,0,0,0,0,0,0,0,0.035701294,0,0,0.181818182,0,0,-1,0,-1,0,-1,0,1
169,0.782938923,0.6,0.916666667,0,0.1,0.85,0.55,1,0,0.272727273,0.825,0.6,1,0,0.25,0.882954545,0,1,0.045454545,0.136363636,0.888888889,0,1,0.111111111,0.111111111,0.635,0.52,0.75,0.625,0.53,0.72,0,1,0,1,0,0,0.832132602,0.092863985,-0.113666667,0.162878788,-0.25,0,-1,0,-1,0,-1,0,1
358,0.678509691,0.382352941,0.875,0,0.4,0.622727273,0,1,0.181818182,0.454545455,0.55,0,1,0.25,0.5,0.826060606,0.2,1,0,0.272727273,1,1,1,0,0,0.655,0.63,0.68,0.52,0.39,0.65,1,0,0,1,0,0,0.686142001,-0.129241605,-0.529333333,-0.064242424,0,0,-1,0,-1,0,-1,0,1
322,0.588845926,0.441176471,0.8,0,0.7,0.94,0.85,1,0,0,0.775,0.6,1,0,0.25,0.953560606,0.666666667,1,0,0.045454545,0.555555556,0,1,0.444444444,0.444444444,0.63,0.43,0.83,0.485,0.41,0.56,1,0,0,1,0,0,0.821347963,-0.116907539,-0.066,-0.041969697,-0.1,0,-1,0,-1,0,-1,0,1
391,0.79993943,0.583333333,0.941176471,0,0.1,0.960909091,0.92,1,0,0,0.9,0.8,1,0,0,0.9375,0,1,0.045454545,0.045454545,1,1,1,0,0,0.875,0.75,1,0.575,0.51,0.64,1,0,1,0,0,3,0.914019818,-0.086235069,-0.009,0.093181818,0,1,3.33,0,-1,0,-1,1,1
95,0.687890607,0.416666667,0.882352941,0,0.6,0.879090909,0.17,1,0,0.090909091,0.7,0,1,0.25,0.25,0.831818182,0,1,0.045454545,0.181818182,0.888888889,0,1,0.111111111,0.111111111,0.58,0.38,0.78,0.6,0.5,0.7,1,0,1,0,0,2,0.812524092,-0.057072064,-0.233,0.045454545,-0.25,1,2.67,1,1.67,1,2,0,1
4,0.917142918,0.852941176,0.972222222,0,0,0.970909091,0.89,1,0,0,0.925,0.8,1,0,0,0.882954545,0,1,0.045454545,0.090909091,1,1,1,0,0,0.94,0.9,0.98,0.64,0.52,0.76,1,0,0,1,0,0,0.941840046,0.026988675,-0.001666667,0.038636364,0,1,4,1,4,0,-1,0,1
353,0.742576065,0.611111111,0.888888889,0,0.5,0.73,0,1,0.090909091,0.272727273,0.75,0.4,1,0,0.5,0.890151515,0.25,1,0,0.136363636,0.888888889,0,1,0.111111111,0.111111111,0.52,0.47,0.57,0.57,0.49,0.65,0,1,1,0,0,2,0.754699601,0.011906694,-0.381333333,-0.146969697,-0.25,0,-1,0,-1,0,-1,0,1
