@relation cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R62-66-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute '416 Grade' numeric

@data
0.524143,0.447917,0.1,0,0.888889,0.474972,0,0.823529,0.22,0.670732,0.81,0.25,1,0,0.25,0.736555,0,0,0.117333,0.20625,0.9675,0.83,0,0,0,0.44,0.19,0.6,0.878788,0.876289,0.89,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.619994,0.815405,0.869783,0.493458,0.726737,t,f,f,f,0.5825
0.892932,0.708333,1,0,0.111111,0.927697,0.717172,1,0,0,0.96,0.75,1,0,0,1,1,0,0,0,0.989167,0.86,0,0,0,0.98,0.95,1,0.949495,0.927835,0.98,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.9458,0.887627,0.809683,0.616822,0.788587,t,f,f,f,0.9175
0.428971,0.229167,0,0,1,0.499444,0,0.882353,0.22,0.54878,0.49,0,1,0.38,0.63,0.694958,0,0,0.22,0.31625,0.913333,0.67,0,0,0.086667,0.43,0.22,0.56,0.505051,0.484536,0.54,f,f,t,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.535526,0.779293,0.679466,0.456449,0.780856,t,f,f,f,0
0.678796,0.552083,0.7,0,0.333333,0.866518,0.616162,1,0,0.219512,0.89,0.61,1,0,0.13,0.930672,0.75,0,0,0,0.534167,0,0,0.3575,0.541667,0.88,0.76,0.98,0.89899,0.835052,0.93,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.800997,0.950823,0.659432,0.55514,0.255131,t,f,f,f,0.25
0.83345,0.71875,1,0,0.111111,0.952169,0.848485,1,0,0,0.88,0.5,1,0,0.25,1,1,0,0,0,0.815833,0,0,0.184167,0.184167,0.86,0.8,0.97,0.929293,0.907216,0.95,f,f,t,f,t,t,f,f,f,f,t,f,f,t,f,f,f,f,f,0.9096,0.75221,0.769616,0.616822,0.780856,t,f,f,f,0.9175
0.643107,0.552083,0.566667,0,0.444444,0.793103,0.494949,1,0,0.329268,0.43,0,1,0.5,0.63,0.87521,0,0,0.117333,0.11,0.913333,0,0,0.086667,0.086667,0.66,0.42,0.8,0.818182,0.804124,0.86,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.764797,0.689015,0.759599,0.407103,0.641694,t,f,f,f,0.8325
0.785864,0.6875,0.9,0,0.111111,0.976641,0.909091,1,0,0,0.94,0.75,1,0,0,0.930672,0.75,0,0,0,0.956667,0.5,0,0,0.086667,0.76,0.68,0.81,0.929293,0.896907,0.98,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.921666,0.896655,0.829716,0.579813,0.834975,t,f,f,f,1
0.940518,0.864583,1,0,0,0.927697,0.858586,1,0,0,1,1,1,0,0,0.944538,0.77,0,0,0,0.9675,0.75,0,0,0,0.95,0.86,1,0.959596,0.927835,0.97,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.9458,0.770265,0.769616,0.55514,0.796319,t,f,f,f,1
0.773968,0.65625,0.8,0,0.222222,0.609566,0,1,0.22,0.219512,0.84,0.44,1,0,0.25,0.722689,0,0,0.117333,0.31625,0.7725,0,0,0.086667,0.3575,0.74,0.64,0.86,0.89899,0.824742,0.95,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.716529,0.887627,1,0.345421,0.649425,t,f,f,f,0
1,1,1,0,0,0.842047,0,1,0.11,0.109756,0.84,0,1,0.13,0.13,0.972269,0.83,0,0,0,0.891667,0,0,0.086667,0.086667,0.99,0.96,1,1,1,1,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.921666,0.842488,0.889816,0.59215,0.935481,t,f,f,f,1
0.821553,0.65625,0.8,0,0.111111,0.952169,0.909091,1,0,0,1,1,1,0,0,0.972269,0.86,0,0,0,1,1,0,0,0,0.59,0.51,0.64,0.878788,0.865979,0.9,f,f,t,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.9096,0.75221,0.809683,0.579813,0.773125,t,f,f,f,0.8325
0.476557,0,0.6,0.25,0.555556,0.756396,0,1,0.11,0.109756,0.11,0,0.67,0.75,1,0.292857,0,0,0.674667,0.7425,0.35,0,0,0.541667,0.725833,0.83,0.73,0.92,0.828283,0.835052,0.84,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.632061,0.689015,0.84975,0.259065,0.533456,t,f,f,f,0.6675
0.738278,0.583333,1,0,0.222222,0.719689,0,1,0.11,0.109756,0.59,0,1,0.25,0.5,0.819748,0.58,0,0,0.20625,0.815833,0,0,0.086667,0.270833,0.25,0.14,0.36,0.858586,0.835052,0.9,f,f,t,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.716529,0.797349,0.9399,0.55514,0.834975,t,f,f,f,0
0.643107,0.447917,0.533333,0,0.444444,0.499444,0,0.882353,0.11,0.439024,0.8,0,1,0.13,0.25,0.62563,0,0,0.117333,0.42625,0.9675,0.83,0,0,0,0.45,0.24,0.78,0.727273,0.731959,0.75,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.607927,0.725126,0.719532,0.690841,0.773125,t,f,f,f,0.5
0.821553,0.729167,0.8,0,0,0.829811,0.757576,1,0,0,0.7,0.25,1,0,0.25,0.792017,0,0,0.22,0.20625,0.913333,0,0,0.086667,0.086667,0.99,0.98,1,0.909091,0.896907,0.96,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.861332,0.887627,0.759599,0.97458,0.904556,t,f,f,f,0.9175
0.690693,0.614583,0.7,0,0.222222,0.707453,0.40404,0.882353,0,0.439024,0.4,0,1,0.38,0.63,0.694958,0,0,0.22,0.31625,0.729167,0,0,0.270833,0.270833,0.46,0.46,0.47,0.808081,0.783505,0.85,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.704462,0.788321,0.889816,0.037009,0.904556,t,f,f,f,0.5825
0.476557,0.458333,0.6,0,0.777778,0.829811,0.656566,1,0,0.109756,0.38,0,1,0.38,0.75,0.736555,0,0,0.117333,0.31625,0.458333,0,0,0.541667,0.541667,0.34,0.13,0.57,0.707071,0.608247,0.77,t,f,f,t,f,t,f,f,t,f,f,f,f,f,t,f,f,f,f,0.656195,0.725126,0.799666,0.59215,0.517994,t,f,f,f,0.4175
0.881036,0.78125,1,0,0,0.903226,0.747475,1,0,0,0.28,0,1,0.63,0.75,0.819748,0,0,0.117333,0.11,0.913333,0,0,0.086667,0.086667,0.94,0.84,1,0.868687,0.752577,0.96,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.873399,0.75221,0.749583,0.493458,0.904556,t,f,f,f,0.8325
0.916725,0.802083,1,0,0,0.964405,0.888889,1,0,0,0.89,0.5,1,0,0.25,0.819748,0,0,0.117333,0.20625,1,1,0,0,0,1,0.99,1,0.979798,1,0.98,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.957867,0.923739,0.789649,0.863551,0.773125,t,f,f,f,1
0.83345,0.71875,1,0,0.111111,0.842047,0.646465,1,0,0.109756,0.45,0,1,0.5,0.5,0.986134,0.91,0,0,0,0.913333,0,0,0.086667,0.086667,0.88,0.69,1,0.89899,0.876289,0.92,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,t,f,f,0.849265,0.860544,0.689482,0.59215,0.904556,t,f,f,f,0.5
0.881036,0.6875,1,0,0.111111,0.988876,0.969697,1,0,0,0.97,0.78,1,0,0,0.972269,0.73,0,0,0,1,1,0,0,0,1,0.99,1,1,1,1,f,f,t,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.982001,0.761237,0.789649,0.55514,0.773125,t,f,f,f,1
0.649868,0,0.722223,0.125,0.333333,0.104561,0,1,0.888889,0.886918,0,0,0,1,1,0.117646,0,0,0.933334,0.875,0.638889,0,0,0.361111,0.361111,0.73,0.51,0.95,0.272727,0,0.54,t,f,f,f,t,t,f,f,t,f,f,f,f,t,f,f,f,f,f,0.297875,0.763014,0.308848,0.168225,0.541187,f,t,f,f,0
0.595775,0,0.88889,0.25,0.222222,0.522803,0,1,0.444444,0.443459,0.2,0,0.8,0.75,0.75,0.705357,0,0,0.266666,0.3125,0.75926,0,0,0.24074,0.24074,0.49,0,0.98,0.237374,0,0.47,t,f,f,t,f,t,f,f,t,f,f,f,t,f,f,f,f,f,f,0.548419,0.543815,0.041068,0.092523,0.386562,f,t,f,f,0.75
0.628577,0.488281,0.583333,0,0.555556,0.551724,0,0.882353,0.222222,0.443459,0.35,0,0.9,0.5,0.75,0.767857,0,0,0.200001,0.25,0.638889,0,0,0.361111,0.361111,0.535,0.44,0.63,0.510101,0.319588,0.7,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.600402,0.815684,0.229048,0.461682,0.889094,f,t,f,f,0.5
0.750896,0,0.907407,0.125,0.111111,0.679644,0,1,0.111111,0.332594,0.5,0,0.9,0.25,0.75,0.805147,0,0,0.133333,0.125,0.75926,0,0,0.24074,0.24074,0.96,0.92,1,0.590909,0.484536,0.7,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.74107,1,0.327211,0.397197,0.734469,f,t,f,f,0.5
0.781358,0.682471,0.80392,0,0.111111,0.509455,0,1,0.222222,0.554323,0.625,0,1,0.25,0.5,0.900735,0.6,0,0,0.062501,0.398148,0,0,0.601852,0.601852,0.965,0.95,0.98,0.575758,0.505155,0.65,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.663642,0.877282,0.340233,0.574766,0.502531,f,t,f,f,0
0,0,0.333333,1,0.888889,0,0,1,1,0.997783,0,0,0,1,1,0,0,0,1,1,0.157407,0,0,0.842593,0.842593,0,0,0,0,0,0,t,f,f,f,t,t,f,t,f,f,f,f,f,t,f,f,f,f,f,0,0.54563,0.465776,0.153271,0.463875,f,t,f,f,0
0.567412,0.462963,0.215687,0,0.888889,0.898777,0.767677,1,0,0,0.8,0.3,1,0,0.25,0.886555,0.5,0,0,0.125,1,1,0,0,0,0.695,0.47,0.92,0.530303,0.412371,0.65,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.814458,0.747358,0.769616,0.527103,0.773125,f,t,f,f,0.4175
