@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R45-49,51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,44-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,4,7-8,10-25,29,31-32,34-36,41-43'

@attribute 'Q Max' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P \% Zeros' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Min' numeric
@attribute Female_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'Math Class' {'\'(-inf-0.857143]\'','\'(0.857143-1.714286]\'','\'(1.714286-2.571429]\'','\'(2.571429-3.428571]\'','\'(3.428571-4.285714]\'','\'(4.285714-5.142857]\'','\'(5.142857-inf)\''}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'Took 416_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}

@data
0.8,0.9,0.315455,0.545455,0.325,0,0.65,0,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.236117,-0.370196,-0.578333,'\'(-inf-0.5]\''
1,0,0.943636,0,1,1,1,0.54,'\'(-inf-0.5]\'','\'(4.285714-5.142857]\'',0.941356,-0.059216,-0.028667,'\'(0.5-inf)\''
1,0,0.956364,0,1,1,1,0.56,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.943906,0.056198,-0.008,'\'(-inf-0.5]\''
0.96875,0.5,0.864545,0,0.975,0.95,1,0.38,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.826455,0.038802,-0.136667,'\'(0.5-inf)\''
1,0.1,0.651818,0.272727,0.91,0.82,1,0.53,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.764626,-0.183933,-0.249,'\'(-inf-0.5]\''
1,0,0.850909,0.090909,0.99,0.98,1,0.52,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.859961,0.000734,-0.317,'\'(0.5-inf)\''
0.84375,0.7,0.424545,0.363636,0.16,0.04,0.28,0.36,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.537243,-0.180689,-0.723333,'\'(-inf-0.5]\''
0.972222,0.2,0.435455,0.454545,0.61,0.52,0.7,0.45,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.601521,-0.018624,-0.798333,'\'(0.5-inf)\''
0,1,0,1,0.35,0,0.7,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.035701,0,0,'\'(-inf-0.5]\''
0.916667,0.1,0.85,0,0.635,0.52,0.75,0.53,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.832133,0.092864,-0.113667,'\'(-inf-0.5]\''
0.875,0.4,0.622727,0.181818,0.655,0.63,0.68,0.39,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.686142,-0.129242,-0.529333,'\'(-inf-0.5]\''
0.8,0.7,0.94,0,0.63,0.43,0.83,0.41,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.821348,-0.116908,-0.066,'\'(-inf-0.5]\''
0.941176,0.1,0.960909,0,0.875,0.75,1,0.51,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.91402,-0.086235,-0.009,'\'(0.5-inf)\''
0.882353,0.6,0.879091,0,0.58,0.38,0.78,0.5,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.812524,-0.057072,-0.233,'\'(0.5-inf)\''
0.972222,0,0.970909,0,0.94,0.9,0.98,0.52,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.94184,0.026989,-0.001667,'\'(0.5-inf)\''
0.888889,0.5,0.73,0.090909,0.52,0.47,0.57,0.49,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.7547,0.011907,-0.381333,'\'(-inf-0.5]\''
0.896552,0.5,0.433636,0.545455,0,0,0,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.375966,-0.744237,-0.795,'\'(-inf-0.5]\''
0.84375,0.5,0.741818,0.090909,0.435,0.39,0.48,0.52,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.743399,-0.070247,-0.417667,'\'(-inf-0.5]\''
0.933333,0.2,0.757273,0.090909,0.895,0.87,0.92,0.4,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.785436,-0.14484,-0.372667,'\'(0.5-inf)\''
1,0.2,0.911818,0,0.935,0.87,1,0.4,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.885915,-0.062617,-0.018,'\'(0.5-inf)\''
1,0.1,0.960909,0,0.975,0.95,1,0.52,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.921458,-0.011375,-0.038333,'\'(0.5-inf)\''
0.676471,1,0.32,0.636364,0,0,0,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.275351,-0.45699,-0.586667,'\'(-inf-0.5]\''
0.724138,0.7,0.860909,0,0.205,0.1,0.31,0.41,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.761705,-0.13102,-0.067667,'\'(-inf-0.5]\''
0.9375,0.5,0.534545,0.454545,0.5,0,1,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.491527,-0.183889,-0.98,'\'(-inf-0.5]\''
1,0.5,0.844545,0,0.92,0.86,0.98,0.37,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.841021,-0.04719,-0.184333,'\'(0.5-inf)\''
1,0,0.694545,0.272727,1,1,1,0.56,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.771907,-0.073994,-0.646333,'\'(-inf-0.5]\''
0.9375,0,0.88,0,0.965,0.95,0.98,0.55,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.885968,0.051259,-0.066,'\'(-inf-0.5]\''
0.970588,0,0.687273,0.181818,0.86,0.85,0.87,0.55,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.748675,-0.015472,-0.644,'\'(0.5-inf)\''
0.794118,0.4,0.876364,0,0.535,0.42,0.65,0.47,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.802244,-0.205989,-0.118,'\'(0.5-inf)\''
0.970588,0.1,0.748182,0.090909,0.9,0.8,1,0.52,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.803812,-0.084246,-0.524667,'\'(0.5-inf)\''
0.763158,0.777778,0.586923,0.230769,0.223333,0,0.55,0.433333,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.578481,-0.234955,-0.501905,'\'(-inf-0.5]\''
0.91,0.888889,0.536923,0.230769,0.35,0,0.82,0.444444,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.434263,-0.199327,-0.198571,'\'(-inf-0.5]\''
0.91,0.888889,0,1,0,0,0,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.034165,-0.306138,0,'\'(-inf-0.5]\''
0.95,0,0.957692,0,0.83,0.68,0.93,0.9,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.937647,0.024056,0.032143,'\'(-inf-0.5]\''
0.91,0.222222,0.890769,0,0.87,0.81,0.97,0.844444,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.851958,-0.059573,-0.171667,'\'(0.5-inf)\''
0.758621,0.666667,0.873846,0.076923,0.516667,0.23,0.89,0.644444,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.801457,-0.128615,-0.174286,'\'(-inf-0.5]\''
0.973684,0,0.970769,0,0.94,0.89,0.97,0.923913,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.945658,0.117441,-0.02,'\'(-inf-0.5]\''
0.793103,0.777778,0.448462,0.384615,0.256667,0,0.77,0.5,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.490408,-0.180467,-0.455238,'\'(-inf-0.5]\''
0.809524,0.777778,0.793846,0.076923,0.516667,0.39,0.61,0.511111,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.736434,-0.223928,-0.350714,'\'(0.5-inf)\''
0.793103,0.888889,0.914615,0,0.456667,0.25,0.77,0.655556,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.82112,-0.066739,-0.04881,'\'(-inf-0.5]\''
0.827586,0.888889,0.641538,0.153846,0.08,0,0.24,0.411111,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.594797,-0.192751,-0.708571,'\'(-inf-0.5]\''
0.857143,0.444444,0.780769,0,0.516667,0.23,0.73,0.622222,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.757152,-0.051316,-0.357381,'\'(-inf-0.5]\''
0.83,0.888889,0.969231,0,0.576667,0.45,0.7,0.6,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.844444,-0.242267,-0.023333,'\'(-inf-0.5]\''
1,0,0.991538,0,0.983333,0.95,1,0.955556,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.973331,-0.016352,-0.005952,'\'(0.5-inf)\''
0.974359,0,0.88,0,0.993333,0.98,1,0.888889,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.919713,0.009691,-0.015476,'\'(0.5-inf)\''
0.724138,0.888889,0.760769,0.076923,0.426667,0.29,0.6,0.522222,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.696501,-0.154483,-0.174762,'\'(-inf-0.5]\''
0.974359,0,0.798462,0,0.876667,0.76,1,0.847826,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.845796,-0.009424,-0.34381,'\'(0.5-inf)\''
0.827586,0.333333,0.89,0,0.503333,0.34,0.61,0.666667,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.824242,-0.067204,-0.095952,'\'(0.5-inf)\''
0.85,0.555556,0.946923,0,0.57,0.16,0.9,0.688889,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.860247,-0.002571,-0.059286,'\'(-inf-0.5]\''
1,0,0.938462,0,0.92,0.78,1,0.8,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.911988,0.071744,-0.068333,'\'(0.5-inf)\''
1,0,0.931538,0,0.92,0.77,1,0.944444,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.942627,-0.077245,-0.101905,'\'(-inf-0.5]\''
0.923077,0.222222,0.970769,0,0.926667,0.88,0.98,0.833333,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.910696,-0.087024,-0.023095,'\'(0.5-inf)\''
0.868421,0.222222,0.964615,0,0.466667,0.15,0.74,0.677778,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.84576,0.091223,-0.020952,'\'(-inf-0.5]\''
0.85,0.888889,0.755385,0.153846,0.35,0.02,0.71,0.466667,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.714098,-0.272564,-0.307143,'\'(-inf-0.5]\''
0.736842,0.777778,0.731538,0.076923,0.58,0.38,0.77,0.7,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.737953,-0.062172,-0.256667,'\'(-inf-0.5]\''
1,0.333333,0.792308,0.153846,0.516667,0.16,0.82,0.633333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.770324,-0.223157,-0.400476,'\'(-inf-0.5]\''
0.880952,0.333333,0.835385,0,0.796667,0.73,0.87,0.811111,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.853269,0.052219,-0.220476,'\'(0.5-inf)\''
0.840909,0.444444,0.680769,0.153846,0.633333,0.32,1,0.555556,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.683233,-0.009275,-0.422381,'\'(-inf-0.5]\''
0.880952,0.666667,0.27,0.692308,0.333333,0,1,0.477778,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.338025,-0.498897,-0.501429,'\'(-inf-0.5]\''
0.923077,0.111111,0.893846,0,0.79,0.37,1,0.902174,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.889648,0.080383,-0.121667,'\'(0.5-inf)\''
0.9,0.666667,0.871538,0,0.53,0.23,0.86,0.622222,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.820178,-0.069245,-0.200952,'\'(0.5-inf)\''
0.923077,0,0.959231,0,0.78,0.51,0.95,0.913043,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.915586,0.053684,0.02619,'\'(-inf-0.5]\''
0.977273,0,0.983846,0,0.99,0.98,1,0.826087,'\'(-inf-0.5]\'','\'(4.285714-5.142857]\'',0.955042,0.088444,-0.035,'\'(0.5-inf)\''
0.87,0.777778,0.717692,0.076923,0.41,0.2,0.7,0.455556,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.698397,-0.129616,-0.261905,'\'(-inf-0.5]\''
0.871795,0.222222,0.876154,0,0.943333,0.92,0.96,0.847826,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.87486,0.087773,-0.070238,'\'(0.5-inf)\''
0.736842,0.888889,0.936154,0,0.653333,0.48,0.91,0.611111,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.835494,-0.03677,-0.054762,'\'(0.5-inf)\''
0.973684,0,0.944615,0,0.986667,0.96,1,0.891304,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.937166,-0.029477,-0.058095,'\'(0.5-inf)\''
0.948718,0.222222,0.875385,0.076923,0.913333,0.79,0.98,0.933333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.888512,0.260438,-0.158571,'\'(-inf-0.5]\''
0.97619,0,0.788462,0.153846,0.973333,0.92,1,0.933333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.863223,0.053404,-0.331429,'\'(-inf-0.5]\''
1,0,0.956154,0,0.98,0.94,1,0.888889,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.946959,0.006494,0.053571,'\'(0.5-inf)\''
0.9,0.222222,0.87,0,0.766667,0.63,0.86,0.644444,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.819879,-0.041241,-0.167143,'\'(-inf-0.5]\''
0.809524,0.555556,0.609231,0.230769,0.456667,0.05,0.97,0.488889,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.578527,-0.462173,-0.642381,'\'(-inf-0.5]\''
0.83,0.555556,0.945385,0,0.506667,0.16,0.81,0.622222,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.839915,-0.302941,-0.037857,'\'(-inf-0.5]\''
1,0,0.954615,0,0.983333,0.95,1,0.866667,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.944607,0.01777,-0.045714,'\'(0.5-inf)\''
0.904762,0.222222,0.671538,0.230769,0.916667,0.8,1,0.655556,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.758882,0.087384,-0.35881,'\'(-inf-0.5]\''
0.974359,0,0.99,0,0.94,0.85,0.99,0.877778,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.952657,0.088293,-0.012381,'\'(0.5-inf)\''
0.727273,0.777778,0.763077,0.076923,0.543333,0.2,0.76,0.633333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.714493,-0.110572,-0.089286,'\'(-inf-0.5]\''
0.74,0.888889,0.619231,0.307692,0.153333,0.05,0.32,0.422222,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.556241,-0.336038,-0.555714,'\'(-inf-0.5]\''
0.95,0.111111,0.770769,0.153846,0.87,0.66,1,0.755556,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8153,-0.058886,-0.391429,'\'(-inf-0.5]\''
1,0,0.870769,0,0.9,0.77,1,0.833333,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.878051,-0.030301,-0.224286,'\'(0.5-inf)\''
0.95,0.111111,0.982308,0,0.76,0.65,0.9,0.966667,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.924254,0.001172,-0.007381,'\'(-inf-0.5]\''
0.772727,0.666667,0.88,0.076923,0.553333,0.23,0.83,0.611111,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.826727,-0.024344,-0.18881,'\'(-inf-0.5]\''
0.763158,0.666667,0.598462,0.307692,0.416667,0.09,0.86,0.577778,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.60718,-0.136795,-0.359286,'\'(-inf-0.5]\''
0.857143,0.444444,0.876154,0,0.38,0,0.65,0.655556,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.806689,-0.181069,-0.135238,'\'(-inf-0.5]\''
0.74,0.888889,0.582308,0.230769,0.403333,0.12,0.79,0.511111,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.587057,-0.208122,-0.354048,'\'(0.5-inf)\''
0.921053,0.444444,0.687692,0.076923,0.86,0.67,1,0.755556,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.761103,0.036103,-0.413571,'\'(0.5-inf)\''
0.921053,0,0.520769,0.076923,0.763333,0.58,0.99,0.788889,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.685887,-0.080299,-0.357381,'\'(-inf-0.5]\''
0.977273,0,0.919231,0,0.946667,0.87,1,0.933333,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.924298,0.048653,-0.057381,'\'(0.5-inf)\''
0.904762,0.111111,0.791538,0,0.57,0.29,0.79,0.76087,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.782023,-0.051965,-0.191667,'\'(0.5-inf)\''
0.857143,0.222222,0.971538,0,0.853333,0.78,0.99,0.858696,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.92464,-0.016347,-0.021429,'\'(0.5-inf)\''
0.857143,0.444444,0.798462,0.076923,0.563333,0.44,0.73,0.688889,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.767234,-0.059219,-0.325238,'\'(-inf-0.5]\''
0.571429,1,0.763846,0.153846,0.133333,0,0.36,0.322222,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.592748,-0.030857,-0.412619,'\'(-inf-0.5]\''
0.977273,0,0.76,0.153846,0.956667,0.9,1,0.9,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.846831,0.094213,-0.142381,'\'(0.5-inf)\''
0.815789,0.555556,0.947692,0,0.373333,0.05,0.75,0.522222,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.824865,-0.173504,-0.029762,'\'(0.5-inf)\''
0.795455,0.666667,0.608462,0.230769,0.876667,0.75,1,0.822222,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.62737,0.014824,-0.263333,'\'(0.5-inf)\''
0.973684,0.555556,0.89,0,0.89,0.71,0.99,0.711111,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.840859,0.01428,-0.055714,'\'(0.5-inf)\''
0.605263,1,0.862308,0,0.243333,0,0.6,0.3,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.721648,-0.261508,0.094762,'\'(-inf-0.5]\''
1,0.111111,0.929231,0,0.95,0.92,0.98,0.877778,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.922529,0.058769,-0.10381,'\'(0.5-inf)\''
0.795455,0.555556,0.813077,0,0.456667,0.28,0.56,0.722222,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.746383,-0.020532,0.059286,'\'(0.5-inf)\''
0.974359,0,0.730769,0.153846,0.913333,0.8,0.99,0.869565,'\'(-inf-0.5]\'','\'(5.142857-inf)\'',0.806625,-0.000364,-0.499762,'\'(0.5-inf)\''
0.97619,0,0.937692,0,0.896667,0.75,1,0.945652,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.938292,-0.007027,-0.045238,'\'(0.5-inf)\''
0.842105,0.777778,0.717692,0.076923,0.78,0.66,0.97,0.766667,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.749208,0.004973,-0.268095,'\'(0.5-inf)\''
0.809524,0.888889,0.944615,0,0.45,0.18,0.75,0.477778,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.826928,-0.003699,-0.055,'\'(0.5-inf)\''
0.758621,0.777778,0.934615,0,0.4,0.04,0.76,0.522222,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.806203,-0.238822,-0.055,'\'(0.5-inf)\''
0.9,0.333333,0.468462,0.461538,0.85,0.77,1,0.766667,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.615259,-0.088143,-0.87,'\'(-inf-0.5]\''
0.724138,0.666667,0.963077,0,0.283333,0,0.62,0.488889,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.816533,-0.276905,-0.045952,'\'(-inf-0.5]\''
1,0.666667,0.230769,0.769231,0.326667,0,0.98,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.233271,-0.499113,-0.428571,'\'(-inf-0.5]\''
1,0.444444,0.886923,0,0.42,0.23,0.7,0.588889,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.811136,0.004369,-0.127381,'\'(0.5-inf)\''
1,0,0.893077,0,0.706667,0.61,0.78,0.858696,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.877469,0.032479,-0.098571,'\'(-inf-0.5]\''
0.928571,0.111111,0.951538,0,0.883333,0.7,1,0.766667,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.902836,-0.081196,-0.055476,'\'(0.5-inf)\''
0.965517,0.111111,0.976923,0,0.75,0.58,0.88,0.8,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.923041,-0.016236,0.005714,'\'(-inf-0.5]\''
0.761905,0.666667,0.931538,0,0.22,0.06,0.47,0.588889,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.789033,-0.257984,-0.074048,'\'(0.5-inf)\''
0.62069,1,0.308462,0.538462,0.086667,0,0.26,0,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.3022,-0.47721,-0.572857,'\'(-inf-0.5]\''
0.9,0.222222,0.852308,0.076923,0.836667,0.55,0.99,0.773333,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.8283,-0.072456,-0.245714,'\'(0.5-inf)\''
0.825,0.555556,0.764615,0,0.973333,0.92,1,0.58,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.7095,-0.018931,-0.284048,'\'(-inf-0.5]\''
0.764706,0.888889,0.271538,0.692308,0.306667,0,0.92,0,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.3664,-0.468824,-0.504286,'\'(-inf-0.5]\''
0.764706,0.777778,0.779231,0.076923,0.3,0.02,0.82,0.55,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.702,-0.27467,-0.326667,'\'(-inf-0.5]\''
0.909091,0.666667,0.293846,0.692308,0.316667,0,0.95,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.2972,-0.652406,-0.545714,'\'(-inf-0.5]\''
0.7,0.888889,0.589231,0.307692,0.156667,0,0.47,0,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.4698,-0.432917,-0.31119,'\'(-inf-0.5]\''
0.9,0.888889,0.488462,0.384615,0.633333,0.45,1,0.63,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.5734,-0.146975,-0.656429,'\'(-inf-0.5]\''
0.666667,1,0.849231,0,0.35,0.03,0.98,0.53,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.7226,-0.202899,-0.035714,'\'(-inf-0.5]\''
0.826087,0.333333,0.589231,0.230769,0.46,0.08,1,0.75,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.6517,-0.255726,-0.68881,'\'(-inf-0.5]\''
1,0,0.878462,0,0.993333,0.98,1,0.92,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.9116,-0.034094,0.092619,'\'(0.5-inf)\''
0.9,0.222222,0.964615,0,0.88,0.66,1,0.853333,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.9224,0.105868,-0.024048,'\'(0.5-inf)\''
0.818182,0.555556,0.489231,0.307692,0.363333,0.04,1,0.513333,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.5839,-0.171297,-0.654762,'\'(-inf-0.5]\''
0.558824,1,0.281538,0.692308,0.356667,0,0.9,0.32,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.3881,-0.27758,-0.522857,'\'(-inf-0.5]\''
0.852941,0.333333,0.755385,0,0.543333,0.12,0.87,0.64,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.7671,0.014369,-0.186429,'\'(-inf-0.5]\''
0.833333,0.444444,0.844615,0,0.793333,0.5,1,0.73,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8274,-0.084976,-0.150952,'\'(0.5-inf)\''
0.8875,0.888889,0.862308,0,0.286667,0.03,0.75,0.433333,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.7294,-0.207182,-0.072381,'\'(0.5-inf)\''
0.95,0.333333,0.806154,0,0.913333,0.84,1,0.886667,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.818,-0.075003,0.059762,'\'(0.5-inf)\''
1,0,0.991538,0,1,1,1,0.926667,'\'(-inf-0.5]\'','\'(5.142857-inf)\'',0.984,-0.013969,0.015714,'\'(-inf-0.5]\''
0.735294,0.777778,0.775385,0,0.28,0.05,0.66,0.606667,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7025,-0.21557,-0.14,'\'(-inf-0.5]\''
0.878049,0.666667,0.814615,0,0.783333,0.58,0.97,0.7,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.7864,0.102453,-0.154048,'\'(0.5-inf)\''
1,0.111111,0.912308,0,0.976667,0.93,1,0.9,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.906,-0.056516,-0.025952,'\'(0.5-inf)\''
0.823529,0.555556,0.85,0,0.4,0.09,0.91,0.65,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.7819,-0.220946,-0.117619,'\'(-inf-0.5]\''
1,0.111111,0.846154,0,1,1,1,0.84,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.8843,0.06457,0.044286,'\'(0.5-inf)\''
0.75,0.666667,0.783077,0,0.463333,0.18,0.98,0.77,'\'(-inf-0.5]\'','\'(4.285714-5.142857]\'',0.7567,-0.043763,-0.213095,'\'(0.5-inf)\''
0.95,0.111111,0.962308,0,0.96,0.88,1,0.76,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.9403,0.049413,-0.029048,'\'(0.5-inf)\''
0.85,0.666667,0.418462,0.461538,0.516667,0.21,0.97,0.63,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.5725,-0.250635,-0.353095,'\'(-inf-0.5]\''
